id	bytes	sha256
json_depth_33	67	eac9bf029c22e177c74309fb891e3351dccfb04f055127ea82dc2dc3136cd899
pdf_text	572	fe6fc7eaa3a6916261df5dd416e684992d1489a24f54ac2555ff4073689582bc
pdf_truncated	564	2baf2a6ef5173a76625294e8e1497a8caf21b0d4b487a8396b9d359786db0e77
pdf_encrypted	759	b609bcd2fd47b10e9f89eb236b8f30d44a5b0dd6467cb76ad5d677a261b52617
ooxml_docx	283	2ac0bac861fc9292c11c19cfded8ba210809a8b6139d7a42034a41a480c1b6ee
ooxml_macro	420	94b777521884bced5800b153878cc87bedde2702f857808ec747896b9c6eab22
zip_basic	136	4182124060057abf4741c3ef36e2315105881368cbebecfb6e45b39250ddc9a0
zip_traversal	139	29c525610ee259c6f3e7330bdf2edc1fc8dc3672401d1e6f5025607f3e8a1fed
zip_bomb	1149	f6fc0fb1d02f0e805a405179e3201b27f91a6668bc621d367bac280f59b6e650
tar_basic	2048	fe191e2544e8066724cdc537ca20d02574038bf3ac82b9cfb92d0952ad3459de
tar_symlink	1536	8beea35decbe4f2885df9f0d383a83578f3656ce14bf4cb8c102085ea1566e1c
png_pixel	69	5e7e0efcf0ac1c6f82459a3e5bacf28dfe9134ff22f4997313aaed1f51a8d668
png_huge_header	178	23f974c0f3c6c02ea02ba8ea1c476aa38e9b90b48571d44ae169cf38ff70bef4
jpeg_pixel	629	5ed93a3f6c364adc6c1ed34ffb84786c2aebfb30e1b9aab12f14a0a459327a8a
jpeg_truncated	314	e9cfd515ff12b51fa0f91f72423aef0e005507522bf86d4ccdd6ac23c237a688
wav_pcm	16044	56d4af65701c26df20bd4021eda95b6e830348ce3a746086079fe89285548dc9
wav_length_mismatch	16044	4ead1d39ff64bd780ede33c5b84a1d820e92f8de2053b12f1f1efdbab161aa5b
y4m_frame	38	a56b58e0b1f4e23527204b452834e9b6439881e895736b00257ad00c9cc76857
y4m_truncated	37	1114697f3fc936e174bee7b3a8333499d72032e6a406e1cc7ec78796b766f783
